001\RGB\1_00.png 001\RGB\2_00.png 001\GT\mask00.png
075\RGB\1_00.png 075\RGB\2_00.png 075\GT\mask00.png
075\RGB\1_01.png 075\RGB\2_01.png 075\GT\mask01.png
075\RGB\1_02.png 075\RGB\2_02.png 075\GT\mask02.png
075\RGB\1_03.png 075\RGB\2_03.png 075\GT\mask03.png
075\RGB\1_04.png 075\RGB\2_04.png 075\GT\mask04.png
075\RGB\1_05.png 075\RGB\2_05.png 075\GT\mask05.png
075\RGB\1_06.png 075\RGB\2_06.png 075\GT\mask06.png
075\RGB\1_07.png 075\RGB\2_07.png 075\GT\mask07.png
075\RGB\1_08.png 075\RGB\2_08.png 075\GT\mask08.png
075\RGB\1_09.png 075\RGB\2_09.png 075\GT\mask09.png
075\RGB\1_10.png 075\RGB\2_10.png 075\GT\mask10.png
078\RGB\1_00.png 078\RGB\2_00.png 078\GT\mask00.png
078\RGB\1_01.png 078\RGB\2_01.png 078\GT\mask01.png
078\RGB\1_02.png 078\RGB\2_02.png 078\GT\mask02.png
078\RGB\1_03.png 078\RGB\2_03.png 078\GT\mask03.png
078\RGB\1_04.png 078\RGB\2_04.png 078\GT\mask04.png
078\RGB\1_05.png 078\RGB\2_05.png 078\GT\mask05.png
078\RGB\1_06.png 078\RGB\2_06.png 078\GT\mask06.png
078\RGB\1_07.png 078\RGB\2_07.png 078\GT\mask07.png
078\RGB\1_08.png 078\RGB\2_08.png 078\GT\mask08.png
078\RGB\1_09.png 078\RGB\2_09.png 078\GT\mask09.png
078\RGB\1_10.png 078\RGB\2_10.png 078\GT\mask10.png
078\RGB\1_11.png 078\RGB\2_11.png 078\GT\mask11.png
078\RGB\1_12.png 078\RGB\2_12.png 078\GT\mask12.png
079\RGB\1_00.png 079\RGB\2_00.png 079\GT\mask00.png
079\RGB\1_01.png 079\RGB\2_01.png 079\GT\mask01.png
079\RGB\1_02.png 079\RGB\2_02.png 079\GT\mask02.png
079\RGB\1_03.png 079\RGB\2_03.png 079\GT\mask03.png
079\RGB\1_04.png 079\RGB\2_04.png 079\GT\mask04.png
079\RGB\1_05.png 079\RGB\2_05.png 079\GT\mask05.png
079\RGB\1_06.png 079\RGB\2_06.png 079\GT\mask06.png
080\RGB\1_00.png 080\RGB\2_00.png 080\GT\mask00.png
080\RGB\1_01.png 080\RGB\2_01.png 080\GT\mask01.png
080\RGB\1_02.png 080\RGB\2_02.png 080\GT\mask02.png
080\RGB\1_03.png 080\RGB\2_03.png 080\GT\mask03.png
080\RGB\1_04.png 080\RGB\2_04.png 080\GT\mask04.png
080\RGB\1_05.png 080\RGB\2_05.png 080\GT\mask05.png
080\RGB\1_06.png 080\RGB\2_06.png 080\GT\mask06.png
080\RGB\1_07.png 080\RGB\2_07.png 080\GT\mask07.png
080\RGB\1_08.png 080\RGB\2_08.png 080\GT\mask08.png
080\RGB\1_09.png 080\RGB\2_09.png 080\GT\mask09.png
080\RGB\1_10.png 080\RGB\2_10.png 080\GT\mask10.png
080\RGB\1_11.png 080\RGB\2_11.png 080\GT\mask11.png
080\RGB\1_12.png 080\RGB\2_12.png 080\GT\mask12.png
080\RGB\1_13.png 080\RGB\2_13.png 080\GT\mask13.png
080\RGB\1_14.png 080\RGB\2_14.png 080\GT\mask14.png
080\RGB\1_15.png 080\RGB\2_15.png 080\GT\mask15.png
080\RGB\1_16.png 080\RGB\2_16.png 080\GT\mask16.png
083\RGB\1_00.png 083\RGB\2_00.png 083\GT\mask00.png
083\RGB\1_01.png 083\RGB\2_01.png 083\GT\mask01.png
083\RGB\1_02.png 083\RGB\2_02.png 083\GT\mask02.png
083\RGB\1_03.png 083\RGB\2_03.png 083\GT\mask03.png
083\RGB\1_04.png 083\RGB\2_04.png 083\GT\mask04.png
083\RGB\1_05.png 083\RGB\2_05.png 083\GT\mask05.png
083\RGB\1_06.png 083\RGB\2_06.png 083\GT\mask06.png
084\RGB\1_00.png 084\RGB\2_00.png 084\GT\mask00.png
084\RGB\1_01.png 084\RGB\2_01.png 084\GT\mask01.png
084\RGB\1_02.png 084\RGB\2_02.png 084\GT\mask02.png
084\RGB\1_03.png 084\RGB\2_03.png 084\GT\mask03.png
084\RGB\1_04.png 084\RGB\2_04.png 084\GT\mask04.png
084\RGB\1_05.png 084\RGB\2_05.png 084\GT\mask05.png
084\RGB\1_06.png 084\RGB\2_06.png 084\GT\mask06.png
084\RGB\1_07.png 084\RGB\2_07.png 084\GT\mask07.png
084\RGB\1_08.png 084\RGB\2_08.png 084\GT\mask08.png
084\RGB\1_09.png 084\RGB\2_09.png 084\GT\mask09.png
084\RGB\1_10.png 084\RGB\2_10.png 084\GT\mask10.png
084\RGB\1_11.png 084\RGB\2_11.png 084\GT\mask11.png
084\RGB\1_12.png 084\RGB\2_12.png 084\GT\mask12.png
084\RGB\1_13.png 084\RGB\2_13.png 084\GT\mask13.png
084\RGB\1_14.png 084\RGB\2_14.png 084\GT\mask14.png
086\RGB\1_00.png 086\RGB\2_00.png 086\GT\mask00.png
086\RGB\1_01.png 086\RGB\2_01.png 086\GT\mask01.png
086\RGB\1_02.png 086\RGB\2_02.png 086\GT\mask02.png
086\RGB\1_03.png 086\RGB\2_03.png 086\GT\mask03.png
086\RGB\1_04.png 086\RGB\2_04.png 086\GT\mask04.png
086\RGB\1_05.png 086\RGB\2_05.png 086\GT\mask05.png
086\RGB\1_06.png 086\RGB\2_06.png 086\GT\mask06.png
087\RGB\1_00.png 087\RGB\2_00.png 087\GT\mask00.png
087\RGB\1_01.png 087\RGB\2_01.png 087\GT\mask01.png
087\RGB\1_02.png 087\RGB\2_02.png 087\GT\mask02.png
088\RGB\1_00.png 088\RGB\2_00.png 088\GT\mask00.png
088\RGB\1_01.png 088\RGB\2_01.png 088\GT\mask01.png
088\RGB\1_02.png 088\RGB\2_02.png 088\GT\mask02.png
088\RGB\1_03.png 088\RGB\2_03.png 088\GT\mask03.png
088\RGB\1_04.png 088\RGB\2_04.png 088\GT\mask04.png
088\RGB\1_05.png 088\RGB\2_05.png 088\GT\mask05.png
088\RGB\1_06.png 088\RGB\2_06.png 088\GT\mask06.png
088\RGB\1_07.png 088\RGB\2_07.png 088\GT\mask07.png
089\RGB\1_00.png 089\RGB\2_00.png 089\GT\mask00.png
089\RGB\1_01.png 089\RGB\2_01.png 089\GT\mask01.png
089\RGB\1_02.png 089\RGB\2_02.png 089\GT\mask02.png
089\RGB\1_03.png 089\RGB\2_03.png 089\GT\mask03.png
089\RGB\1_04.png 089\RGB\2_04.png 089\GT\mask04.png
089\RGB\1_05.png 089\RGB\2_05.png 089\GT\mask05.png
089\RGB\1_06.png 089\RGB\2_06.png 089\GT\mask06.png
089\RGB\1_07.png 089\RGB\2_07.png 089\GT\mask07.png
089\RGB\1_08.png 089\RGB\2_08.png 089\GT\mask08.png
089\RGB\1_09.png 089\RGB\2_09.png 089\GT\mask09.png
089\RGB\1_10.png 089\RGB\2_10.png 089\GT\mask10.png
089\RGB\1_11.png 089\RGB\2_11.png 089\GT\mask11.png
090\RGB\1_00.png 090\RGB\2_00.png 090\GT\mask00.png
090\RGB\1_01.png 090\RGB\2_01.png 090\GT\mask01.png
090\RGB\1_02.png 090\RGB\2_02.png 090\GT\mask02.png
090\RGB\1_03.png 090\RGB\2_03.png 090\GT\mask03.png
090\RGB\1_04.png 090\RGB\2_04.png 090\GT\mask04.png
090\RGB\1_05.png 090\RGB\2_05.png 090\GT\mask05.png
090\RGB\1_06.png 090\RGB\2_06.png 090\GT\mask06.png
090\RGB\1_07.png 090\RGB\2_07.png 090\GT\mask07.png
090\RGB\1_08.png 090\RGB\2_08.png 090\GT\mask08.png
090\RGB\1_09.png 090\RGB\2_09.png 090\GT\mask09.png
090\RGB\1_10.png 090\RGB\2_10.png 090\GT\mask10.png
090\RGB\1_11.png 090\RGB\2_11.png 090\GT\mask11.png
090\RGB\1_12.png 090\RGB\2_12.png 090\GT\mask12.png
090\RGB\1_13.png 090\RGB\2_13.png 090\GT\mask13.png
090\RGB\1_14.png 090\RGB\2_14.png 090\GT\mask14.png
090\RGB\1_15.png 090\RGB\2_15.png 090\GT\mask15.png
090\RGB\1_16.png 090\RGB\2_16.png 090\GT\mask16.png
090\RGB\1_17.png 090\RGB\2_17.png 090\GT\mask17.png
090\RGB\1_18.png 090\RGB\2_18.png 090\GT\mask18.png
091\RGB\1_00.png 091\RGB\2_00.png 091\GT\mask00.png
091\RGB\1_01.png 091\RGB\2_01.png 091\GT\mask01.png
091\RGB\1_02.png 091\RGB\2_02.png 091\GT\mask02.png
091\RGB\1_03.png 091\RGB\2_03.png 091\GT\mask03.png
091\RGB\1_04.png 091\RGB\2_04.png 091\GT\mask04.png
091\RGB\1_05.png 091\RGB\2_05.png 091\GT\mask05.png
091\RGB\1_06.png 091\RGB\2_06.png 091\GT\mask06.png
091\RGB\1_07.png 091\RGB\2_07.png 091\GT\mask07.png
091\RGB\1_08.png 091\RGB\2_08.png 091\GT\mask08.png
091\RGB\1_09.png 091\RGB\2_09.png 091\GT\mask09.png
091\RGB\1_10.png 091\RGB\2_10.png 091\GT\mask10.png
096\RGB\1_00.png 096\RGB\2_00.png 096\GT\mask00.png
096\RGB\1_01.png 096\RGB\2_01.png 096\GT\mask01.png
096\RGB\1_02.png 096\RGB\2_02.png 096\GT\mask02.png
096\RGB\1_03.png 096\RGB\2_03.png 096\GT\mask03.png
096\RGB\1_04.png 096\RGB\2_04.png 096\GT\mask04.png
096\RGB\1_05.png 096\RGB\2_05.png 096\GT\mask05.png
096\RGB\1_06.png 096\RGB\2_06.png 096\GT\mask06.png
096\RGB\1_07.png 096\RGB\2_07.png 096\GT\mask07.png
098\RGB\1_00.png 098\RGB\2_00.png 098\GT\mask00.png
098\RGB\1_01.png 098\RGB\2_01.png 098\GT\mask01.png
098\RGB\1_02.png 098\RGB\2_02.png 098\GT\mask02.png
098\RGB\1_03.png 098\RGB\2_03.png 098\GT\mask03.png
098\RGB\1_04.png 098\RGB\2_04.png 098\GT\mask04.png
099\RGB\1_00.png 099\RGB\2_00.png 099\GT\mask00.png
099\RGB\1_01.png 099\RGB\2_01.png 099\GT\mask01.png
099\RGB\1_02.png 099\RGB\2_02.png 099\GT\mask02.png
099\RGB\1_03.png 099\RGB\2_03.png 099\GT\mask03.png
101\RGB\1_00.png 101\RGB\2_00.png 101\GT\mask00.png
101\RGB\1_01.png 101\RGB\2_01.png 101\GT\mask01.png
101\RGB\1_02.png 101\RGB\2_02.png 101\GT\mask02.png
101\RGB\1_03.png 101\RGB\2_03.png 101\GT\mask03.png
101\RGB\1_04.png 101\RGB\2_04.png 101\GT\mask04.png
101\RGB\1_05.png 101\RGB\2_05.png 101\GT\mask05.png
101\RGB\1_06.png 101\RGB\2_06.png 101\GT\mask06.png
101\RGB\1_07.png 101\RGB\2_07.png 101\GT\mask07.png
101\RGB\1_08.png 101\RGB\2_08.png 101\GT\mask08.png
101\RGB\1_09.png 101\RGB\2_09.png 101\GT\mask09.png
101\RGB\1_10.png 101\RGB\2_10.png 101\GT\mask10.png
102\RGB\1_00.png 102\RGB\2_00.png 102\GT\mask00.png
102\RGB\1_01.png 102\RGB\2_01.png 102\GT\mask01.png
103\RGB\1_00.png 103\RGB\2_00.png 103\GT\mask00.png
103\RGB\1_01.png 103\RGB\2_01.png 103\GT\mask01.png
103\RGB\1_02.png 103\RGB\2_02.png 103\GT\mask02.png
103\RGB\1_03.png 103\RGB\2_03.png 103\GT\mask03.png
103\RGB\1_04.png 103\RGB\2_04.png 103\GT\mask04.png
104\RGB\1_00.png 104\RGB\2_00.png 104\GT\mask00.png
104\RGB\1_01.png 104\RGB\2_01.png 104\GT\mask01.png
104\RGB\1_02.png 104\RGB\2_02.png 104\GT\mask02.png
104\RGB\1_03.png 104\RGB\2_03.png 104\GT\mask03.png
104\RGB\1_04.png 104\RGB\2_04.png 104\GT\mask04.png
104\RGB\1_05.png 104\RGB\2_05.png 104\GT\mask05.png
104\RGB\1_06.png 104\RGB\2_06.png 104\GT\mask06.png
104\RGB\1_07.png 104\RGB\2_07.png 104\GT\mask07.png
104\RGB\1_08.png 104\RGB\2_08.png 104\GT\mask08.png
104\RGB\1_09.png 104\RGB\2_09.png 104\GT\mask09.png
104\RGB\1_10.png 104\RGB\2_10.png 104\GT\mask10.png
104\RGB\1_11.png 104\RGB\2_11.png 104\GT\mask11.png
105\RGB\1_00.png 105\RGB\2_00.png 105\GT\mask00.png
105\RGB\1_01.png 105\RGB\2_01.png 105\GT\mask01.png
105\RGB\1_02.png 105\RGB\2_02.png 105\GT\mask02.png
105\RGB\1_03.png 105\RGB\2_03.png 105\GT\mask03.png
105\RGB\1_04.png 105\RGB\2_04.png 105\GT\mask04.png
105\RGB\1_05.png 105\RGB\2_05.png 105\GT\mask05.png
105\RGB\1_06.png 105\RGB\2_06.png 105\GT\mask06.png
105\RGB\1_07.png 105\RGB\2_07.png 105\GT\mask07.png
105\RGB\1_08.png 105\RGB\2_08.png 105\GT\mask08.png
105\RGB\1_09.png 105\RGB\2_09.png 105\GT\mask09.png
108\RGB\1_00.png 108\RGB\2_00.png 108\GT\mask00.png
108\RGB\1_01.png 108\RGB\2_01.png 108\GT\mask01.png
108\RGB\1_02.png 108\RGB\2_02.png 108\GT\mask02.png
108\RGB\1_03.png 108\RGB\2_03.png 108\GT\mask03.png
108\RGB\1_04.png 108\RGB\2_04.png 108\GT\mask04.png
108\RGB\1_05.png 108\RGB\2_05.png 108\GT\mask05.png
108\RGB\1_06.png 108\RGB\2_06.png 108\GT\mask06.png
108\RGB\1_07.png 108\RGB\2_07.png 108\GT\mask07.png
108\RGB\1_08.png 108\RGB\2_08.png 108\GT\mask08.png
108\RGB\1_09.png 108\RGB\2_09.png 108\GT\mask09.png
108\RGB\1_10.png 108\RGB\2_10.png 108\GT\mask10.png
108\RGB\1_11.png 108\RGB\2_11.png 108\GT\mask11.png
108\RGB\1_12.png 108\RGB\2_12.png 108\GT\mask12.png
108\RGB\1_13.png 108\RGB\2_13.png 108\GT\mask13.png
108\RGB\1_14.png 108\RGB\2_14.png 108\GT\mask14.png
108\RGB\1_15.png 108\RGB\2_15.png 108\GT\mask15.png
108\RGB\1_16.png 108\RGB\2_16.png 108\GT\mask16.png
108\RGB\1_17.png 108\RGB\2_17.png 108\GT\mask17.png
108\RGB\1_18.png 108\RGB\2_18.png 108\GT\mask18.png
108\RGB\1_19.png 108\RGB\2_19.png 108\GT\mask19.png
108\RGB\1_20.png 108\RGB\2_20.png 108\GT\mask20.png
108\RGB\1_21.png 108\RGB\2_21.png 108\GT\mask21.png
108\RGB\1_22.png 108\RGB\2_22.png 108\GT\mask22.png
109\RGB\1_00.png 109\RGB\2_00.png 109\GT\mask00.png
109\RGB\1_01.png 109\RGB\2_01.png 109\GT\mask01.png
109\RGB\1_02.png 109\RGB\2_02.png 109\GT\mask02.png
109\RGB\1_03.png 109\RGB\2_03.png 109\GT\mask03.png
109\RGB\1_04.png 109\RGB\2_04.png 109\GT\mask04.png
110\RGB\1_00.png 110\RGB\2_00.png 110\GT\mask00.png
110\RGB\1_01.png 110\RGB\2_01.png 110\GT\mask01.png
110\RGB\1_02.png 110\RGB\2_02.png 110\GT\mask02.png
110\RGB\1_03.png 110\RGB\2_03.png 110\GT\mask03.png
110\RGB\1_04.png 110\RGB\2_04.png 110\GT\mask04.png
110\RGB\1_05.png 110\RGB\2_05.png 110\GT\mask05.png
110\RGB\1_06.png 110\RGB\2_06.png 110\GT\mask06.png
110\RGB\1_07.png 110\RGB\2_07.png 110\GT\mask07.png
110\RGB\1_08.png 110\RGB\2_08.png 110\GT\mask08.png
110\RGB\1_09.png 110\RGB\2_09.png 110\GT\mask09.png
110\RGB\1_10.png 110\RGB\2_10.png 110\GT\mask10.png
110\RGB\1_11.png 110\RGB\2_11.png 110\GT\mask11.png
110\RGB\1_12.png 110\RGB\2_12.png 110\GT\mask12.png
110\RGB\1_13.png 110\RGB\2_13.png 110\GT\mask13.png
110\RGB\1_14.png 110\RGB\2_14.png 110\GT\mask14.png
110\RGB\1_15.png 110\RGB\2_15.png 110\GT\mask15.png
110\RGB\1_16.png 110\RGB\2_16.png 110\GT\mask16.png
110\RGB\1_17.png 110\RGB\2_17.png 110\GT\mask17.png
110\RGB\1_18.png 110\RGB\2_18.png 110\GT\mask18.png
110\RGB\1_19.png 110\RGB\2_19.png 110\GT\mask19.png
110\RGB\1_20.png 110\RGB\2_20.png 110\GT\mask20.png
111\RGB\1_00.png 111\RGB\2_00.png 111\GT\mask00.png
111\RGB\1_01.png 111\RGB\2_01.png 111\GT\mask01.png
114\RGB\1_00.png 114\RGB\2_00.png 114\GT\mask00.png
114\RGB\1_01.png 114\RGB\2_01.png 114\GT\mask01.png
114\RGB\1_02.png 114\RGB\2_02.png 114\GT\mask02.png
114\RGB\1_03.png 114\RGB\2_03.png 114\GT\mask03.png
114\RGB\1_04.png 114\RGB\2_04.png 114\GT\mask04.png
114\RGB\1_05.png 114\RGB\2_05.png 114\GT\mask05.png
114\RGB\1_06.png 114\RGB\2_06.png 114\GT\mask06.png
115\RGB\1_00.png 115\RGB\2_00.png 115\GT\mask00.png
115\RGB\1_01.png 115\RGB\2_01.png 115\GT\mask01.png
115\RGB\1_02.png 115\RGB\2_02.png 115\GT\mask02.png
115\RGB\1_03.png 115\RGB\2_03.png 115\GT\mask03.png
116\RGB\1_00.png 116\RGB\2_00.png 116\GT\mask00.png
116\RGB\1_01.png 116\RGB\2_01.png 116\GT\mask01.png
116\RGB\1_02.png 116\RGB\2_02.png 116\GT\mask02.png
116\RGB\1_03.png 116\RGB\2_03.png 116\GT\mask03.png
116\RGB\1_04.png 116\RGB\2_04.png 116\GT\mask04.png
116\RGB\1_05.png 116\RGB\2_05.png 116\GT\mask05.png
116\RGB\1_06.png 116\RGB\2_06.png 116\GT\mask06.png
116\RGB\1_07.png 116\RGB\2_07.png 116\GT\mask07.png
116\RGB\1_08.png 116\RGB\2_08.png 116\GT\mask08.png
116\RGB\1_09.png 116\RGB\2_09.png 116\GT\mask09.png
116\RGB\1_10.png 116\RGB\2_10.png 116\GT\mask10.png
118\RGB\1_00.png 118\RGB\2_00.png 118\GT\mask00.png
118\RGB\1_01.png 118\RGB\2_01.png 118\GT\mask01.png
118\RGB\1_02.png 118\RGB\2_02.png 118\GT\mask02.png
118\RGB\1_03.png 118\RGB\2_03.png 118\GT\mask03.png
118\RGB\1_04.png 118\RGB\2_04.png 118\GT\mask04.png
118\RGB\1_05.png 118\RGB\2_05.png 118\GT\mask05.png
118\RGB\1_06.png 118\RGB\2_06.png 118\GT\mask06.png
118\RGB\1_07.png 118\RGB\2_07.png 118\GT\mask07.png
118\RGB\1_08.png 118\RGB\2_08.png 118\GT\mask08.png
118\RGB\1_09.png 118\RGB\2_09.png 118\GT\mask09.png
118\RGB\1_10.png 118\RGB\2_10.png 118\GT\mask10.png
118\RGB\1_11.png 118\RGB\2_11.png 118\GT\mask11.png
118\RGB\1_12.png 118\RGB\2_12.png 118\GT\mask12.png
118\RGB\1_13.png 118\RGB\2_13.png 118\GT\mask13.png
118\RGB\1_14.png 118\RGB\2_14.png 118\GT\mask14.png
118\RGB\1_15.png 118\RGB\2_15.png 118\GT\mask15.png
118\RGB\1_16.png 118\RGB\2_16.png 118\GT\mask16.png
118\RGB\1_17.png 118\RGB\2_17.png 118\GT\mask17.png
118\RGB\1_18.png 118\RGB\2_18.png 118\GT\mask18.png
118\RGB\1_19.png 118\RGB\2_19.png 118\GT\mask19.png
118\RGB\1_20.png 118\RGB\2_20.png 118\GT\mask20.png
118\RGB\1_21.png 118\RGB\2_21.png 118\GT\mask21.png
121\RGB\1_00.png 121\RGB\2_00.png 121\GT\mask00.png
121\RGB\1_01.png 121\RGB\2_01.png 121\GT\mask01.png
121\RGB\1_02.png 121\RGB\2_02.png 121\GT\mask02.png
121\RGB\1_03.png 121\RGB\2_03.png 121\GT\mask03.png
121\RGB\1_04.png 121\RGB\2_04.png 121\GT\mask04.png
121\RGB\1_05.png 121\RGB\2_05.png 121\GT\mask05.png
121\RGB\1_06.png 121\RGB\2_06.png 121\GT\mask06.png
121\RGB\1_07.png 121\RGB\2_07.png 121\GT\mask07.png
122\RGB\1_00.png 122\RGB\2_00.png 122\GT\mask00.png
122\RGB\1_01.png 122\RGB\2_01.png 122\GT\mask01.png
122\RGB\1_02.png 122\RGB\2_02.png 122\GT\mask02.png
122\RGB\1_03.png 122\RGB\2_03.png 122\GT\mask03.png
123\RGB\1_00.png 123\RGB\2_00.png 123\GT\mask00.png
123\RGB\1_01.png 123\RGB\2_01.png 123\GT\mask01.png
123\RGB\1_02.png 123\RGB\2_02.png 123\GT\mask02.png
123\RGB\1_03.png 123\RGB\2_03.png 123\GT\mask03.png
123\RGB\1_04.png 123\RGB\2_04.png 123\GT\mask04.png
123\RGB\1_05.png 123\RGB\2_05.png 123\GT\mask05.png
123\RGB\1_06.png 123\RGB\2_06.png 123\GT\mask06.png
123\RGB\1_07.png 123\RGB\2_07.png 123\GT\mask07.png
123\RGB\1_08.png 123\RGB\2_08.png 123\GT\mask08.png
123\RGB\1_09.png 123\RGB\2_09.png 123\GT\mask09.png
123\RGB\1_10.png 123\RGB\2_10.png 123\GT\mask10.png
123\RGB\1_11.png 123\RGB\2_11.png 123\GT\mask11.png
123\RGB\1_12.png 123\RGB\2_12.png 123\GT\mask12.png
124\RGB\1_00.png 124\RGB\2_00.png 124\GT\mask00.png
124\RGB\1_01.png 124\RGB\2_01.png 124\GT\mask01.png
124\RGB\1_02.png 124\RGB\2_02.png 124\GT\mask02.png
124\RGB\1_03.png 124\RGB\2_03.png 124\GT\mask03.png
126\RGB\1_00.png 126\RGB\2_00.png 126\GT\mask00.png
126\RGB\1_01.png 126\RGB\2_01.png 126\GT\mask01.png
126\RGB\1_02.png 126\RGB\2_02.png 126\GT\mask02.png
126\RGB\1_03.png 126\RGB\2_03.png 126\GT\mask03.png
126\RGB\1_04.png 126\RGB\2_04.png 126\GT\mask04.png
126\RGB\1_05.png 126\RGB\2_05.png 126\GT\mask05.png
126\RGB\1_06.png 126\RGB\2_06.png 126\GT\mask06.png
126\RGB\1_07.png 126\RGB\2_07.png 126\GT\mask07.png
126\RGB\1_08.png 126\RGB\2_08.png 126\GT\mask08.png
126\RGB\1_09.png 126\RGB\2_09.png 126\GT\mask09.png
126\RGB\1_10.png 126\RGB\2_10.png 126\GT\mask10.png
126\RGB\1_11.png 126\RGB\2_11.png 126\GT\mask11.png
126\RGB\1_12.png 126\RGB\2_12.png 126\GT\mask12.png
126\RGB\1_13.png 126\RGB\2_13.png 126\GT\mask13.png
126\RGB\1_14.png 126\RGB\2_14.png 126\GT\mask14.png
127\RGB\1_00.png 127\RGB\2_00.png 127\GT\mask00.png
127\RGB\1_01.png 127\RGB\2_01.png 127\GT\mask01.png
127\RGB\1_02.png 127\RGB\2_02.png 127\GT\mask02.png
127\RGB\1_03.png 127\RGB\2_03.png 127\GT\mask03.png
127\RGB\1_04.png 127\RGB\2_04.png 127\GT\mask04.png
127\RGB\1_05.png 127\RGB\2_05.png 127\GT\mask05.png
127\RGB\1_06.png 127\RGB\2_06.png 127\GT\mask06.png
127\RGB\1_07.png 127\RGB\2_07.png 127\GT\mask07.png
127\RGB\1_08.png 127\RGB\2_08.png 127\GT\mask08.png
127\RGB\1_09.png 127\RGB\2_09.png 127\GT\mask09.png
127\RGB\1_10.png 127\RGB\2_10.png 127\GT\mask10.png
127\RGB\1_11.png 127\RGB\2_11.png 127\GT\mask11.png
127\RGB\1_12.png 127\RGB\2_12.png 127\GT\mask12.png
127\RGB\1_13.png 127\RGB\2_13.png 127\GT\mask13.png
127\RGB\1_14.png 127\RGB\2_14.png 127\GT\mask14.png
127\RGB\1_15.png 127\RGB\2_15.png 127\GT\mask15.png
128\RGB\1_00.png 128\RGB\2_00.png 128\GT\mask00.png
128\RGB\1_01.png 128\RGB\2_01.png 128\GT\mask01.png
128\RGB\1_02.png 128\RGB\2_02.png 128\GT\mask02.png
130\RGB\1_00.png 130\RGB\2_00.png 130\GT\mask00.png
130\RGB\1_01.png 130\RGB\2_01.png 130\GT\mask01.png
130\RGB\1_02.png 130\RGB\2_02.png 130\GT\mask02.png
131\RGB\1_00.png 131\RGB\2_00.png 131\GT\mask00.png
131\RGB\1_01.png 131\RGB\2_01.png 131\GT\mask01.png
131\RGB\1_02.png 131\RGB\2_02.png 131\GT\mask02.png
131\RGB\1_03.png 131\RGB\2_03.png 131\GT\mask03.png
131\RGB\1_04.png 131\RGB\2_04.png 131\GT\mask04.png
131\RGB\1_05.png 131\RGB\2_05.png 131\GT\mask05.png
131\RGB\1_06.png 131\RGB\2_06.png 131\GT\mask06.png
131\RGB\1_07.png 131\RGB\2_07.png 131\GT\mask07.png
131\RGB\1_08.png 131\RGB\2_08.png 131\GT\mask08.png
131\RGB\1_09.png 131\RGB\2_09.png 131\GT\mask09.png
133\RGB\1_00.png 133\RGB\2_00.png 133\GT\mask00.png
133\RGB\1_01.png 133\RGB\2_01.png 133\GT\mask01.png
133\RGB\1_02.png 133\RGB\2_02.png 133\GT\mask02.png
133\RGB\1_03.png 133\RGB\2_03.png 133\GT\mask03.png
133\RGB\1_04.png 133\RGB\2_04.png 133\GT\mask04.png
133\RGB\1_05.png 133\RGB\2_05.png 133\GT\mask05.png
133\RGB\1_06.png 133\RGB\2_06.png 133\GT\mask06.png
133\RGB\1_07.png 133\RGB\2_07.png 133\GT\mask07.png
136\RGB\1_00.png 136\RGB\2_00.png 136\GT\mask00.png
136\RGB\1_01.png 136\RGB\2_01.png 136\GT\mask01.png
136\RGB\1_02.png 136\RGB\2_02.png 136\GT\mask02.png
136\RGB\1_03.png 136\RGB\2_03.png 136\GT\mask03.png
136\RGB\1_04.png 136\RGB\2_04.png 136\GT\mask04.png
136\RGB\1_05.png 136\RGB\2_05.png 136\GT\mask05.png
136\RGB\1_06.png 136\RGB\2_06.png 136\GT\mask06.png
136\RGB\1_07.png 136\RGB\2_07.png 136\GT\mask07.png
136\RGB\1_08.png 136\RGB\2_08.png 136\GT\mask08.png
137\RGB\1_00.png 137\RGB\2_00.png 137\GT\mask00.png
137\RGB\1_01.png 137\RGB\2_01.png 137\GT\mask01.png
137\RGB\1_02.png 137\RGB\2_02.png 137\GT\mask02.png
137\RGB\1_03.png 137\RGB\2_03.png 137\GT\mask03.png
137\RGB\1_04.png 137\RGB\2_04.png 137\GT\mask04.png
137\RGB\1_05.png 137\RGB\2_05.png 137\GT\mask05.png
137\RGB\1_06.png 137\RGB\2_06.png 137\GT\mask06.png
137\RGB\1_07.png 137\RGB\2_07.png 137\GT\mask07.png
137\RGB\1_08.png 137\RGB\2_08.png 137\GT\mask08.png
137\RGB\1_09.png 137\RGB\2_09.png 137\GT\mask09.png
137\RGB\1_10.png 137\RGB\2_10.png 137\GT\mask10.png
137\RGB\1_11.png 137\RGB\2_11.png 137\GT\mask11.png
138\RGB\1_00.png 138\RGB\2_00.png 138\GT\mask00.png
138\RGB\1_01.png 138\RGB\2_01.png 138\GT\mask01.png
138\RGB\1_02.png 138\RGB\2_02.png 138\GT\mask02.png
138\RGB\1_03.png 138\RGB\2_03.png 138\GT\mask03.png
138\RGB\1_04.png 138\RGB\2_04.png 138\GT\mask04.png
138\RGB\1_05.png 138\RGB\2_05.png 138\GT\mask05.png
138\RGB\1_06.png 138\RGB\2_06.png 138\GT\mask06.png
138\RGB\1_07.png 138\RGB\2_07.png 138\GT\mask07.png
138\RGB\1_08.png 138\RGB\2_08.png 138\GT\mask08.png
138\RGB\1_09.png 138\RGB\2_09.png 138\GT\mask09.png
138\RGB\1_10.png 138\RGB\2_10.png 138\GT\mask10.png
138\RGB\1_11.png 138\RGB\2_11.png 138\GT\mask11.png
